iter	Logloss
0	0.5054924512
1	0.3836742814
2	0.2853812169
3	0.219287517
4	0.1740646244
5	0.1448964694
6	0.1249067934
7	0.1057832026
8	0.09660247315
9	0.08544692154
10	0.07824349087
11	0.0720662686
12	0.0662432992
13	0.06155046041
14	0.05836120876
15	0.05502060393
16	0.05215886689
17	0.04941892846
18	0.04745862802
19	0.04568794844
20	0.04362103799
21	0.04170045075
22	0.04035139983
23	0.03866552718
24	0.03753863913
25	0.03586214662
26	0.03474692924
27	0.03360770708
28	0.03277844017
29	0.03187876191
30	0.03118463468
31	0.03030456838
32	0.02963357117
33	0.02922961535
34	0.02836601326
35	0.02774221537
36	0.0270044128
37	0.02651180798
38	0.02593624091
39	0.02541546852
40	0.025015045
41	0.02438849637
42	0.0238602772
43	0.02357918671
44	0.02326769963
45	0.02299743698
46	0.02253432223
47	0.02214731968
48	0.02166444736
49	0.02133266751
50	0.02100599627
51	0.02065079209
52	0.02001573587
53	0.01954131833
54	0.01925604785
55	0.01884297687
56	0.01857139574
57	0.01829837127
58	0.01800417183
59	0.01777021018
60	0.01751917525
61	0.01714792673
62	0.01688955008
63	0.01663819506
64	0.01640005981
65	0.01629199555
66	0.01608640904
67	0.01597741957
68	0.01573330302
69	0.0156134436
70	0.01539748919
71	0.0151611358
72	0.01488570328
73	0.01447413795
74	0.01429001251
75	0.01418005091
76	0.01397633573
77	0.01372406392
78	0.01356338402
79	0.01348037931
80	0.01336272485
81	0.01321084362
82	0.01303779528
83	0.0129252697
84	0.01273176321
85	0.01265661662
86	0.01249606905
87	0.01238699718
88	0.01225878632
89	0.01205374476
90	0.01197509683
91	0.01185007061
92	0.01166289711
93	0.01158749212
94	0.01141999426
95	0.01132635688
96	0.01109758191
97	0.01101546149
98	0.01091441242
99	0.01058555738
100	0.01047081994
101	0.01036220309
102	0.01025766222
103	0.01013985767
104	0.01009723298
105	0.01002704558
106	0.00997720696
107	0.009916415709
108	0.009808014985
109	0.009702979054
110	0.00962760441
111	0.0095241057
112	0.009446747552
113	0.009233997353
114	0.009096377956
115	0.009046109009
116	0.008966549077
117	0.008882413438
118	0.008793440009
119	0.008693970887
120	0.008659240315
121	0.0085339115
122	0.008411134568
123	0.008350759031
124	0.008285649508
125	0.008226005246
126	0.008164150489
127	0.008076602787
128	0.007949415134
129	0.007838191792
130	0.007784673269
131	0.007751358659
132	0.007656339747
133	0.007625215888
134	0.007589951831
135	0.007528557481
136	0.007503061428
137	0.007440966592
138	0.007396143711
139	0.007336456345
140	0.007307655645
141	0.007205464817
142	0.007140247135
143	0.007081278287
144	0.007025096321
145	0.006938552421
146	0.00687797773
147	0.00679268086
148	0.00676040478
149	0.00668887683
150	0.006660615139
151	0.006596089967
152	0.006537373994
153	0.006454270705
154	0.00643223659
155	0.00638870419
156	0.006341658291
157	0.006256372212
158	0.006190001819
159	0.006104586561
160	0.006028522337
161	0.005959877034
162	0.005910431207
163	0.005892968771
164	0.005844873772
165	0.005804720458
166	0.005777521135
167	0.005723512499
168	0.005705570855
169	0.005654347469
170	0.005618174858
171	0.005603583002
172	0.005575386461
173	0.005554197304
174	0.005536064629
175	0.005499519891
176	0.005435717413
177	0.005381929224
178	0.005359141624
179	0.005318310445
180	0.005285738171
181	0.005255495206
182	0.005227666716
183	0.005170391102
184	0.005129787149
185	0.005040203724
186	0.005009986347
187	0.004969528012
188	0.004938260616
189	0.004937871581
190	0.004912499757
191	0.004891301968
192	0.00489126657
193	0.004819603657
194	0.004801505535
195	0.004783708328
196	0.004768087559
197	0.004753193864
198	0.00472578077
199	0.004683916467
